,iter,obj_val,obs_err,test_err,nuc_norm,time,mu
0,1.0,1313280.707105065,18.165423722052306,0.21926493111082104,656599.1057251573,0.2748429775238037,2.0
1,2.0,1516092.4461379931,8.407694417617405,0.10569517099456384,758037.386903319,0.5042080879211426,2.0
2,3.0,1546303.0168424249,5.619870399639642,0.0722033466390416,773147.5605532988,0.7022500038146973,2.0
3,4.0,1552392.6205758366,5.166113842028152,0.06623823404210914,776192.9741963897,0.8930873870849609,2.0
4,5.0,1558725.3266092483,4.789937955852036,0.06122745170422508,779359.7953664216,1.0921108722686768,2.0
5,6.0,4712554.78779807,4.3980319922159055,0.055983104666888196,782675.4519038157,1.745971918106079,3.072995286855933e-06
6,7.0,4196136.382632729,4.016306898447249,0.05090655676490385,785771.9138447875,1.932906150817871,3.072995286855933e-06
7,8.0,3774134.2405679477,3.6748152008444,0.046417208438022564,788443.0174323829,2.137315511703491,3.072995286855933e-06
8,9.0,3452637.904892091,3.391354925483393,0.04274233791464079,790644.866010352,2.348468780517578,3.072995286855933e-06
9,10.0,3217769.4711446296,3.1679212373257766,0.039890769268550584,792439.8642748137,2.5628883838653564,3.072995286855933e-06
10,11.0,10562003.175714443,2.994816140165024,0.037720469705275775,793937.5747809628,3.149994373321533,4.997100379700168e-07
11,12.0,9759056.24505431,2.8572386196400683,0.03602832298788015,795253.288502046,3.35859751701355,4.997100379700168e-07
12,13.0,9107208.87163896,2.7404154248006822,0.03461537971318548,796487.2429204526,3.5695769786834717,4.997100379700168e-07
13,14.0,8528225.825441532,2.6322559692556653,0.03331880451072824,797716.9224435918,3.7773280143737793,4.997100379700168e-07
14,15.0,7973603.740823668,2.524265558382151,0.032021999459172334,798994.8798222853,3.9883248805999756,4.997100379700168e-07
15,16.0,7420037.0502325315,2.411631186603931,0.030655307704450744,800348.6474473041,4.185337781906128,4.997100379700168e-07
16,17.0,6864100.38873766,2.2929204427483283,0.029193028759299074,801782.7606132537,4.388716459274292,4.997100379700168e-07
17,18.0,6315788.338627486,2.169444515928029,0.027646977156881733,803283.9203334155,4.611285448074341,4.997100379700168e-07
18,19.0,5791161.630643374,2.044279706368623,0.026055500878327996,804828.5788610437,4.818023681640625,4.997100379700168e-07
19,20.0,5305633.347231435,1.921122041225882,0.024469135949566807,806390.9382648962,5.020971775054932,4.997100379700168e-07
20,21.0,4869647.02584465,1.8032922505229756,0.022936713004252412,807948.5786072505,5.23065185546875,4.997100379700168e-07
21,22.0,4487363.740138445,1.6931421775725066,0.0214956397304595,809484.9280183127,5.419438600540161,4.997100379700168e-07
22,23.0,4157616.9700815612,1.5919070355446374,0.020168135559711264,810989.2412493597,5.621930837631226,4.997100379700168e-07
23,24.0,3875820.0911054392,1.4998679832259079,0.018962261844498868,812455.3837628702,5.823784112930298,4.997100379700168e-07
24,25.0,3635805.020809921,1.416643832839566,0.017875536271804545,813880.3792531788,6.025820255279541,4.997100379700168e-07
25,26.0,3431136.10325655,1.3414787943187598,0.016898966314975544,815263.2654179921,6.228102207183838,4.997100379700168e-07
26,27.0,3255854.5108538046,1.2734618314630834,0.01602046539534485,816604.2315883181,6.431489944458008,4.997100379700168e-07
27,28.0,3104804.2479370497,1.211669998912113,0.015227222998642204,817904.0777476829,6.62287712097168,4.997100379700168e-07
28,29.0,2973695.8664652826,1.1552461417899975,0.014507074536364717,819163.903138797,6.830413818359375,4.997100379700168e-07
29,30.0,2859043.3356282962,1.1034341867661706,0.013849190074328695,820384.9124917669,7.037646532058716,4.997100379700168e-07
30,31.0,2758048.361316977,1.0555875920495628,0.013244296095061673,821568.3163459074,7.242002248764038,4.997100379700168e-07
31,32.0,2668476.073166335,1.011163794887148,0.012684642495486106,822715.2821853829,7.44938325881958,4.997100379700168e-07
32,33.0,2588541.456831067,0.9697123218382582,0.01216384614118551,823826.9131657348,7.646596670150757,4.997100379700168e-07
33,34.0,2516813.6837139297,0.9308610977412858,0.0116766865905824,824904.251630779,7.855096340179443,4.997100379700168e-07
34,35.0,2452138.564938862,0.8943030416733341,0.011218924755980648,825948.2774986619,8.068212032318115,4.997100379700168e-07
35,36.0,2393577.6716089994,0.8597841979543901,0.010787083486783844,826959.9295976824,8.280901193618774,4.997100379700168e-07
36,37.0,7577587.18950642,0.827093676032248,0.010378325996632574,827940.0803789616,8.815825462341309,5.7760705284090416e-08
37,38.0,7143377.143142901,0.7960552845043386,0.009990314208440734,828889.5836155734,9.039326667785645,5.7760705284090416e-08
38,39.0,6745723.684216023,0.7665207388309866,0.009621106302558215,829809.2591791247,9.253108024597168,5.7760705284090416e-08
39,40.0,6380713.457432089,0.7383642532608254,0.009269077337087771,830699.9005488988,9.47031044960022,5.7760705284090416e-08
40,41.0,6045005.355748955,0.7114780736684313,0.008932847636032094,831562.2850016709,9.668213844299316,5.7760705284090416e-08
41,42.0,5735722.542689341,0.6857691801837853,0.008611241677918574,832397.1691625831,9.877311944961548,5.7760705284090416e-08
42,43.0,5450366.619936125,0.6611565156018512,0.008303244071334457,833205.2949282114,10.119628429412842,5.7760705284090416e-08
43,44.0,5186751.0860765,0.637568821994885,0.008007964511225046,833987.3881471171,10.354228019714355,5.7760705284090416e-08
44,45.0,4942948.690709662,0.6149428902254698,0.007724619958836725,834744.1653001695,10.559117317199707,5.7760705284090416e-08
45,46.0,4717250.617131067,0.5932222503129428,0.007452517353127339,835476.324600121,10.777381658554077,5.7760705284090416e-08
46,47.0,4508133.897222797,0.5723561368206058,0.007191031734320566,836184.558909867,10.998309135437012,5.7760705284090416e-08
47,48.0,4314233.67962057,0.5522985247654941,0.006939596450762713,836869.5412451845,11.216911315917969,5.7760705284090416e-08
48,49.0,4134322.0169823132,0.5330074767085933,0.00669769817834148,837531.9344088794,11.432250261306763,5.7760705284090416e-08
49,50.0,3967289.8937557954,0.5144445655051029,0.006464868020449666,838172.3904225058,11.659443140029907,5.7760705284090416e-08
50,51.0,3812132.5091067003,0.4965744250544411,0.006240668345622413,838791.5458853263,11.880588054656982,5.7760705284090416e-08
51,52.0,3667936.822102983,0.47936436709314184,0.0060247004547111325,839390.0237706935,12.09941053390503,5.7760705284090416e-08
52,53.0,3533870.9916160437,0.4627840584303138,0.00581659177599203,839968.4353996426,12.321173429489136,5.7760705284090416e-08
53,54.0,3409175.4350466146,0.4468052578852934,0.005615996229554557,840527.3780067686,12.544636249542236,5.7760705284090416e-08
54,55.0,3293155.2699869024,0.431401609116977,0.005422587036789552,841067.4380811813,12.827406883239746,5.7760705284090416e-08
55,56.0,3185173.344595993,0.41654841002422854,0.005236060265374109,841589.1860298316,13.043376207351685,5.7760705284090416e-08
56,57.0,3084644.700185165,0.4022224797288281,0.005056131369980929,842093.1787056768,13.271833896636963,5.7760705284090416e-08
57,58.0,2991031.7094106823,0.3884020476681541,0.004882530386517719,842579.9621688677,13.4656503200531,5.7760705284090416e-08
58,59.0,2903839.3133096676,0.37506659075376164,0.004715003293214664,843050.067858464,13.682202100753784,5.7760705284090416e-08
59,60.0,2822611.141978996,0.36219673322542034,0.004553309923754231,843504.0140575907,13.909085035324097,5.7760705284090416e-08
60,61.0,2746926.046315417,0.34977415618253405,0.004397222934692874,843942.3060392252,14.123553991317749,5.7760705284090416e-08
61,62.0,2676395.0272692977,0.33778152170620956,0.004246525613490417,844365.4359055478,14.348734140396118,5.7760705284090416e-08
62,63.0,2610658.4047269514,0.3262023921162382,0.004101015791397269,844773.881496986,14.56294298171997,5.7760705284090416e-08
63,64.0,2549383.146635516,0.31502112949096395,0.003960498505398225,845168.1129580347,14.792203903198242,5.7760705284090416e-08
64,65.0,2492260.91812763,0.30422288932140995,0.0038247874860585403,845548.5845357038,15.011385917663574,5.7760705284090416e-08
65,66.0,2439005.9365443997,0.2937935457158456,0.0036937077005462426,845915.7385121126,15.224592924118042,5.7760705284090416e-08
66,67.0,2389353.0391406734,0.283719623492223,0.0035670904180656678,846270.0018579359,15.453794479370117,5.7760705284090416e-08
67,68.0,2343056.212287434,0.2739882854807343,0.00344477418615169,846611.7975068594,15.681799173355103,5.7760705284090416e-08
68,69.0,2299886.918539045,0.2645872646125657,0.003326606377687039,846941.5297967084,15.907137155532837,5.7760705284090416e-08
69,70.0,2259632.8192102904,0.25550484093055,0.003212440432693901,847259.5943019952,16.13677191734314,5.7760705284090416e-08
