,iter,obj_val,obs_err,test_err,nuc_norm,time,mu
0,1.0,6604681.520018821,31.65647819943906,0.1544604970849247,3302215.4934329116,1.149406909942627,2.0
1,2.0,6858093.738921335,20.398283479136964,0.1256603127537674,3428994.858214556,2.2834606170654297,2.0
2,3.0,7025948.72201499,16.18424068565847,0.11293325467065399,3512941.6198016736,3.4505395889282227,2.0
3,4.0,7153448.247113587,14.046083584821417,0.10462091701942765,3576699.461998785,4.6326212882995605,2.0
4,5.0,7241833.007584463,12.774902411796045,0.09895088112743282,3620896.1040257774,5.818687915802002,2.0
5,6.0,47575305.775564924,11.920282955312782,0.09472703733548847,3650335.935578784,9.360993385314941,1.764052605319534e-06
6,7.0,43417063.32022029,11.281607477397648,0.09138179690076821,3671276.5790718375,10.743421792984009,1.764052605319534e-06
7,8.0,40294187.630827114,10.777075589657247,0.08866824740019585,3687074.7214608616,12.035681962966919,1.764052605319534e-06
8,9.0,37867757.87379435,10.367978408747275,0.0864342340442924,3699784.4489980415,13.29155158996582,1.764052605319534e-06
9,10.0,35939091.48597797,10.030633353122893,0.0845817320750814,3710673.138881379,14.52761721611023,1.764052605319534e-06
10,11.0,93980667.52668463,9.747105602202392,0.08302050845757461,3720553.897201236,18.0806884765625,5.489169803636337e-07
11,12.0,89716011.94968209,9.502807241716747,0.08167007518630433,3730044.596509207,19.33931016921997,5.489169803636337e-07
12,13.0,86048680.64158513,9.287438237863125,0.08047600217445705,3739479.3546675546,20.58777165412903,5.489169803636337e-07
13,14.0,82841153.52685665,9.094753991355306,0.07940701998365234,3748873.608755251,21.85085678100586,5.489169803636337e-07
14,15.0,80009255.95761627,8.921066045827583,0.07844322205886524,3758063.270017431,23.108619213104248,5.489169803636337e-07
15,16.0,77493958.76058856,8.763828858597002,0.07756877851127805,3766873.5490364134,24.370685815811157,5.489169803636337e-07
16,17.0,75247246.14937785,8.62089811657358,0.0767703765992293,3775205.6477456964,25.639864444732666,5.489169803636337e-07
17,18.0,73228104.6599086,8.49034852945797,0.07603695064707469,3783032.0070289248,26.908155918121338,5.489169803636337e-07
18,19.0,71401521.59898157,8.370461661771651,0.07535870152563684,3790366.815698253,28.189799785614014,5.489169803636337e-07
19,20.0,69737779.99593194,8.259721917333795,0.07472640892778096,3797248.660468307,29.470560789108276,5.489169803636337e-07
20,21.0,68212182.33904311,8.156832658244829,0.0741316796852945,3803731.5255670263,30.755556344985962,5.489169803636337e-07
21,22.0,66804743.2259746,8.060726224645904,0.07356746712025215,3809869.6531959916,32.12229657173157,5.489169803636337e-07
22,23.0,65499490.40789858,7.9705420558805375,0.07302854906845539,3815706.479880866,33.40072321891785,5.489169803636337e-07
23,24.0,64283536.690329224,7.885582180615739,0.07251153701630572,3821271.552529714,34.68025851249695,5.489169803636337e-07
24,25.0,63146280.646878324,7.805268759023389,0.0720146220969801,3826585.480014487,35.93430829048157,5.489169803636337e-07
25,26.0,62078876.248044886,7.729116064145232,0.07153688164534817,3831664.785760422,37.21884059906006,5.489169803636337e-07
26,27.0,61073887.53038945,7.65671303985623,0.0710774965581511,3836524.2701247516,38.48620891571045,5.489169803636337e-07
27,28.0,60125032.614199325,7.5877110755927095,0.07063505375534225,3841174.3618512154,39.755998849868774,5.489169803636337e-07
28,29.0,59226903.61748631,7.521808764980233,0.070207146055804,3845617.5456031924,41.03782081604004,5.489169803636337e-07
29,30.0,58374613.24728095,7.458729785671775,0.06979025515979731,3849845.7662567687,42.33394432067871,5.489169803636337e-07
30,31.0,57563411.825480774,7.3981962554995135,0.06938004208120277,3853843.5069223945,43.94406819343567,5.489169803636337e-07
31,32.0,56788418.78088242,7.3399089922462455,0.06897181032294258,3857591.8591489806,45.21256422996521,5.489169803636337e-07
32,33.0,56044542.43222882,7.283540810645735,0.06856101895447078,3861073.513139989,46.48694896697998,5.489169803636337e-07
33,34.0,55326561.544602975,7.228742109435821,0.06814367431094032,3864275.479135772,47.7910590171814,5.489169803636337e-07
34,35.0,54629294.41860363,7.175153315902799,0.06771662841553305,3867192.0619834536,49.084333419799805,5.489169803636337e-07
35,36.0,53947771.15544498,7.122418574321101,0.06727765129397875,3869824.2339521777,50.41350960731506,5.489169803636337e-07
36,37.0,121032506.98882027,7.070197452366111,0.06682546723036939,3872181.269775863,54.051002502441406,2.2062190292925657e-07
37,38.0,119375683.15553987,7.01817478101756,0.06635975015220755,3874279.321550244,55.36800527572632,2.2062190292925657e-07
38,39.0,117728032.06324427,6.966069162414196,0.06588098094429412,3876139.7926317807,56.65899872779846,2.2062190292925657e-07
39,40.0,116082122.61563677,6.913639930881258,0.06539031892697005,3877788.6915874816,57.94571375846863,2.2062190292925657e-07
40,41.0,114432185.36649008,6.860692288446536,0.06488943369213508,3879254.803822554,59.229185581207275,2.2062190292925657e-07
41,42.0,112774192.47404857,6.807081733082087,0.06438024866399561,3880566.847104895,60.527127742767334,2.2062190292925657e-07
42,43.0,111105920.80977926,6.7527180196764345,0.06386461601730621,3881752.7325892732,61.84239149093628,2.2062190292925657e-07
43,44.0,109427115.88737409,6.697572751968525,0.06334420644009502,3882837.8606781163,63.15318441390991,2.2062190292925657e-07
44,45.0,107739472.2828187,6.64168140758592,0.06282009994993057,3883842.4765165546,64.4559051990509,2.2062190292925657e-07
45,46.0,106046567.93717448,6.5851439366519235,0.06229266059545388,3884780.389991396,65.8407654762268,2.2062190292925657e-07
46,47.0,104353505.38611956,6.528115550508112,0.06176142949256926,3885658.2063408713,67.1442003250122,2.2062190292925657e-07
47,48.0,102666268.5640055,6.470787299104793,0.06122513453574613,3886475.8651341624,68.4380407333374,2.2062190292925657e-07
